Grievance Description,Predicted Category,Urgency Level
"Train delayed by 2 hours, causing inconvenience.",Unknown,Low
Charging point not working in coach.,Unknown,Low
Overcrowding in the train.,Unknown,Low
Toilet in coach is dirty.,Unknown,Low
"AC not working, too hot in the coach.",Unknown,Low
Safety hazard due to slippery floor in coach.,Unknown,Low
Food served was stale.,Unknown,Low
Water not available in coach.,Unknown,Low
Seat not available despite having a confirmed ticket.,Unknown,Low
Window glass broken in coach.,Unknown,Low
Train was cancelled without prior notice.,Unknown,Low
Heavy overcrowding at station.,Unknown,Low
Passengers fighting for seat occupancy.,Unknown,Low
Charging port not working in my seat.,Unknown,Low
Train arrived late at destination.,Unknown,Low
Train delay due to technical issue.,Unknown,Low
Security personnel behaving rudely.,Unknown,Low
Window curtains torn and unusable.,Unknown,Low
Water spilled all over the floor.,Unknown,Low
Toilet not cleaned properly.,Unknown,Low
Food was cold and tasteless.,Unknown,Low
Train stopped for a long time without any explanation.,Unknown,Low
Foul smell from AC vents.,Unknown,Low
Too much noise from train engine.,Unknown,Low
Staff was unresponsive when I asked for help.,Unknown,Low
Uncomfortable seats in coach.,Unknown,Low
"Ticket payment failed, but money was deducted.",Unknown,Low
Unhygienic conditions in the train.,Unknown,Low
Delayed train without any updates.,Unknown,Low
Overcrowded train with no ventilation.,Unknown,Low
Staff was uncooperative during ticket issue.,Unknown,Low
Non-functioning light in the coach.,Unknown,Low
Train platform was very dirty.,Unknown,Low
High ticket prices for a poor service.,Unknown,Low
Unexplained stoppage of train for long time.,Unknown,Low
No space for luggage in the coach.,Unknown,Low
Train service was disrupted due to strikes.,Unknown,Low
AC in coach was malfunctioning.,Unknown,Low
Broken door in train coach.,Unknown,Low
Too many passengers standing in the aisles.,Unknown,Low
Unclean seats in train.,Unknown,Low
